Object, R, G, B, HEX
Wood, 96, 81, 58, 60513A
Green, 72, 110, 50, 486E32
Wood, 95, 82, 59, 5F523B
Red, 156, 47, 42, 9C2F2A
Blue, 32, 79, 129, 204F81
Wood, 94, 82, 59, 5E523B
Blue, 33, 78, 127, 214E7F
Green, 67, 113, 50, 437132
Red, 166, 42, 39, A62A27
Red, 160, 45, 40, A02D28
