Object, R, G, B, HEX
Wood, 93, 86, 64, 5D5640
Red, 167, 45, 44, A72D2C
Red, 168, 44, 43, A82C2B
Red, 166, 45, 44, A62D2C
Blue, 24, 83, 137, 185389
Blue, 26, 83, 137, 1A5389
Blue, 21, 84, 134, 155486
Blue, 40, 81, 127, 28517F
Red, 166, 46, 44, A62E2C
Green, 70, 116, 55, 467437
Wood, 102, 107, 81, 666B51
Green, 69, 116, 55, 457437
Red, 167, 44, 44, A72C2C
Blue, 30, 81, 137, 1E5189
Wood, 96, 84, 64, 605440
Gravel, 104, 82, 59, 68523B
Sand, 112, 78, 57, 704E39
