Object, R, G, B, HEX
Screw, 92, 83, 60, 5C533C
Screw, 106, 120, 69, 6A7845
Screw, 88, 108, 61, 586C3D
Green, 59, 117, 51, 3B7533
Screw, 88, 107, 78, 586B4E
Green, 72, 111, 50, 486F32
